id,name,Geburtsdatum,gnd,pmb_id
wr-person-0057,"Menkes, Hermann",1873-07-15,https://d-nb.info/gnd/116882239,2553
wr-person-0075,"Messer, Max",,https://d-nb.info/gnd/116914130,2885
wr-person-0185,"Meyer-Förster, Elsbeth",1870-01-05,https://d-nb.info/gnd/117004049,21393
wr-person-0237,"Moeller van den Bruck, Arthur",1876-04-23,https://d-nb.info/gnd/118734423,94197
wr-person-0266,"Monogrammist, W Sch",,https://d-nb.info/gnd/1046085301,299985
wr-person-0054,"Montesquiou, Graf Robert von",,https://d-nb.info/gnd/118583689,151901
wr-person-0285,"Moreau, Gustave",1826-04-06,https://d-nb.info/gnd/118583972,151511
wr-person-0015,"Morgenstern, Christian",,https://d-nb.info/gnd/11881169X,12290
wr-person-0257,"Mörner, Birger",,https://d-nb.info/gnd/117088501,173277
wr-person-0032,"Morris, William",,https://d-nb.info/gnd/118584251,65043
wr-person-0242,Multatuli,1820-03-02,https://d-nb.info/gnd/118679279,15285
wr-person-0305,"Multatuli, Wahrheit",,https://d-nb.info/gnd/118679279,15285
wr-person-0218,"Muther, Richard",,https://d-nb.info/gnd/119115387,12319
wr-person-0070,"Nansen, Peter",1861-01-20,https://d-nb.info/gnd/116882670,2357
wr-person-0058,"Necker, Moritz",1857-10-14,https://d-nb.info/gnd/116902965,28523
wr-person-0297,Neera,1846,https://d-nb.info/gnd/118884654,28753
wr-person-0035,"Neumann, Alfred",,https://d-nb.info/gnd/120427354,299986
wr-person-0171,"Nietzsche, Friedrich",1844-10-15,https://d-nb.info/gnd/118587943,12358
wr-person-0108,"Obstfelder, Sigbjørn",1866,https://d-nb.info/gnd/118786660,65082
wr-person-0202,"Oehler, August",,https://d-nb.info/gnd/1159042357,299987
wr-person-0045,"Oestéren, Friedrich Werner van",1874-09-18,https://d-nb.info/gnd/117106860,299988
wr-person-0025,"Panizza, Oskar",1853-11-12,https://d-nb.info/gnd/118739131,182192
wr-person-0099,"Pastor, Willy",1867-09-22,https://d-nb.info/gnd/11605302X,35005
wr-person-0042,"Peladan, Sar Josephin",,https://d-nb.info/gnd/118790188,64983
wr-person-0088,"Perzynski, Friedrich",,https://d-nb.info/gnd/1244003514,299991
wr-person-0251,"Pica, Vittorio",1862,https://d-nb.info/gnd/118855840,93413
wr-person-0184,"Pilar, Ivo",1874-06-19,https://d-nb.info/gnd/11815608X,101492
wr-person-0235,"Poe, Edgar Allan",1809-01-19,https://d-nb.info/gnd/11859527X,12428
wr-person-0239,"Poestion, Josef",1853-06-07,https://d-nb.info/gnd/116249978,22649
wr-person-0189,"Poppée, Dolphine",,https://pmb.acdh.oeaw.ac.at/entity/171246/,171246
wr-person-0036,"Prévost, Marcel",1862-05-01,https://d-nb.info/gnd/11864176X,9386
wr-person-0123,"Przerwa-Tetmajer, Kazimierz",1865-02-12,https://d-nb.info/gnd/12350175X,106409
wr-person-0290,"Pudor, Heinrich",1865-08-29,https://d-nb.info/gnd/11630734X,114434
wr-person-0209,"Puttkamer, Alberta von",1849-05-05,https://d-nb.info/gnd/116314184,299992
wr-person-0097,Rachilde,1860-02-11,https://d-nb.info/gnd/119100770,64990
wr-person-0005,"Rappaport, Felix",1874-11-17,https://d-nb.info/gnd/1046354299,28598
wr-person-0013,"Reibrach, Jean",1853-10-16,https://d-nb.info/gnd/1052850162,299995
wr-person-0026,"Reuter, Gabriele",,https://d-nb.info/gnd/118744712,12514
wr-person-0041,"Rilke, Rainer Maria",1875-12-04,https://d-nb.info/gnd/118601024,9531
wr-person-0114,"Rilke, Rainer Maria",1875-12-04,https://d-nb.info/gnd/118601024,9531
wr-person-0111,"Robitsek, Vilma",,https://pmb.acdh.oeaw.ac.at/entity/23479/,23479
wr-person-0225,"Rossetti, Dante Gabriel",,https://d-nb.info/gnd/118749900,113201
wr-person-0178,"Rubinstein, Dr. Susanna",,https://d-nb.info/gnd/116669616,299996
wr-person-0204,"Ruskin, John",1819-02-08,https://d-nb.info/gnd/118604279,39087
wr-person-0031,"Saar, Ferdinand von",1833-09-30,https://d-nb.info/gnd/118604449,12602
wr-person-0269,"Sachs, Otto",,https://d-nb.info/gnd/116740469,299999
wr-person-0065,"Samain, Albert",1858,https://d-nb.info/gnd/118794299,156850
wr-person-0072,"Schaeffer, Emil",,https://d-nb.info/gnd/117099589,9658
wr-person-0216,"Schäfer, Wilhelm",,https://d-nb.info/gnd/118794868,9817
wr-person-0009,"Schäffer, Emil",,https://d-nb.info/gnd/117099589,9658
wr-person-0198,"Schaukal, Dr. Richard",,https://d-nb.info/gnd/118606662,9674
wr-person-0012,"Schaukal, Richard von",1874-05-27,https://d-nb.info/gnd/118606662,9674
wr-person-0007,"Schik, Friedrich",1857,https://d-nb.info/gnd/11726413X,2420
wr-person-0190,"Schlaf, Johannes",1862-06-21,https://d-nb.info/gnd/118607871,12664
wr-person-0220,"Schlesinger-Eckstein, Therese,Kaethe",,https://d-nb.info/gnd/101843305,103466
wr-person-0106,"Schmidkunz, Dr. Hans",,https://d-nb.info/gnd/117213608,103646
wr-person-0158,"Schmitt, Dr. Eugen Heinrich",,https://d-nb.info/gnd/116799544,103565
wr-person-0278,"Schmitt, Eugen Heinrich",,https://d-nb.info/gnd/116799544,103565
wr-person-0027,"Schmitz, Oscar",,https://d-nb.info/gnd/119328267,12685
wr-person-0071,"Schmitz, Oscar A. H.",1873-04-16,https://d-nb.info/gnd/119328267,12685
wr-person-0104,"Schmitz, Oscar A. H.",1873-04-16,https://d-nb.info/gnd/119328267,12685
wr-person-0119,"Schmitz, Oscar A. H.",1873-04-16,https://d-nb.info/gnd/119328267,12685
wr-person-0182,"Schmujlow-Claassen, Ria",1868-10-12,https://d-nb.info/gnd/118609424,300000
wr-person-0272,"Schölermann, W.",,https://d-nb.info/gnd/116857358,48899
wr-person-0173,"Schölermann, Wilh.",,https://d-nb.info/gnd/116857358,48899
wr-person-0161,"Schölermann, Wilhelm",,https://d-nb.info/gnd/116857358,48899
wr-person-0129,"Scholz, Wilhelm von",,https://d-nb.info/gnd/118610392,9756
wr-person-0245,"Segantini, Giovanni",1858-01-15,https://d-nb.info/gnd/118612700,9845
wr-person-0284,"Seiling, Max, Prof.",,https://d-nb.info/gnd/117471372,162232
wr-person-0024,"Servaes, Franz",,https://d-nb.info/gnd/117467979,12772
wr-person-0150,"Smital, Anton",1863-02-09,https://d-nb.info/gnd/1049162188,300001
wr-person-0302,"Sokal, Eduard",,https://d-nb.info/gnd/1151405132,300005
wr-person-0010,"Ssologub, Fjodor",,https://d-nb.info/gnd/118615378,65111
wr-person-0052,"Stern, Maurice Reinhold von",1860-04-03,https://d-nb.info/gnd/117276871,42086
wr-person-0137,"Stirner, Max",1806-10-25,https://d-nb.info/gnd/118618261,116166
wr-person-0175,"Strindberg, August",1849-01-22,https://d-nb.info/gnd/118619314,12877
wr-person-0228,"Swinburne, Algernon Charles",1837-04-05,https://d-nb.info/gnd/118620207,5202
wr-person-0002,"Tchechow, Anton",1860-01-17,https://d-nb.info/gnd/118638289,3603
wr-person-0301,"Tolstoi, Leo",,https://d-nb.info/gnd/11864291X,3739
wr-person-0238,"Tolstoi, Leo Graf",,https://d-nb.info/gnd/11864291X,3739
wr-person-0281,"Toorop, Jan",1858,https://d-nb.info/gnd/119295954,116280
wr-person-0291,"Topelius, Zacharias",1818-01-14,https://d-nb.info/gnd/119241269,300006
wr-person-0064,"Tschechoff, Anton",,https://d-nb.info/gnd/118638289,3603
wr-person-0135,"Tschechow, Anton",,https://d-nb.info/gnd/118638289,3603
wr-person-0156,"Ubell, Hermann",1876-03-03,https://d-nb.info/gnd/117249238,12984
wr-person-0192,"Uddgren, Gustaf",1865-02-21,https://d-nb.info/gnd/115900191X,300010
wr-person-0300,"Vallotton, Félix",1865-12-28,https://d-nb.info/gnd/118626043,181896
wr-person-0214,"Vancsa, Max",1866,https://d-nb.info/gnd/117344842,106924
wr-person-0107,"Veber, Pierre",,https://d-nb.info/gnd/121502244,26421
wr-person-0039,"Véber, Pierre",1869-05-15,https://d-nb.info/gnd/121502244,26421
wr-person-0255,"Velde, Henry van de",1863-04-03,https://d-nb.info/gnd/118626442,5153
wr-person-0063,"Verhaeren, Emile",1855-05-21,https://d-nb.info/gnd/118768085,26435
wr-person-0006,"Verlaine, Paul",1844-03-30,https://d-nb.info/gnd/118804219,13011
wr-person-0317,"Vick, Carl",1851-12-10,https://d-nb.info/gnd/107777205X,300014
wr-person-0110,"Vogüé, Melchior de",1829-10-18,https://d-nb.info/gnd/117468606,116407
wr-person-0152,"Vom Walde, Philo",1858-08-05,https://d-nb.info/gnd/1321845332,300018
wr-person-0236,"Walser, Robert",,https://d-nb.info/gnd/118628860,36022
wr-person-0029,"Weisengrün, Dr. Paul",,https://d-nb.info/gnd/1057673374,300019
wr-person-0134,"Wengraf, Richard",,https://d-nb.info/gnd/126283451,26944
wr-person-0083,"Whitman, Walt",,https://d-nb.info/gnd/118807153,13102
wr-person-0246,"Wickström, Victor Hugo",1856-05-29,https://d-nb.info/gnd/127987800,300022
wr-person-0068,"Wilde, Oscar",1854-10-16,https://d-nb.info/gnd/118632779,13115
wr-person-0028,"Wilhelm, Paul",,https://d-nb.info/gnd/116259604,27150
wr-person-0138,"Wille, Bruno",1860-02-06,https://d-nb.info/gnd/11863318X,10543
wr-person-0115,"Zenker, Ernst Viktor",1865,https://d-nb.info/gnd/116979798,27464
wr-person-0213,"Zilcken, Philippe",1857-04-21,https://d-nb.info/gnd/1018256768,300027
wr-person-0230,"Zillmann, Helene",1867,https://d-nb.info/gnd/117724653,300030
wr-person-0195,"Zuckerkandl, B.",,https://d-nb.info/gnd/118758160,2312
