id,name,Geburtsdatum,gnd
wr-person-0313,A. Lg.,,
wr-person-0283,"Achelis, Thomas",,https://d-nb.info/gnd/116005041
wr-person-0289,"Adler, Prof. S.",,
wr-person-0074,"Aho, Juhani",1861-09-11,https://d-nb.info/gnd/118846329
wr-person-0148,"Albert, Henri",1869,https://d-nb.info/gnd/118817477
wr-person-0004,"Altenberg, Peter",1859-03-09,https://d-nb.info/gnd/118502255
wr-person-0056,"Althof, Paul",1869,https://d-nb.info/gnd/1164385046
wr-person-0316,"Appia, Adolphe",1862-09-01,https://d-nb.info/gnd/118503731
wr-person-0159,"Arjuna, Harold",1856,https://d-nb.info/gnd/1129197565
wr-person-0208,"Asenijeff, Elsa",1867-01-03,https://d-nb.info/gnd/118973088
wr-person-0079,"Auernheimer, Raoul",1876-04-15,https://d-nb.info/gnd/118505033
wr-person-0292,"Bailly, Edmund",,
wr-person-0267,"Barbey d'Aurevilly, Jules Amédée",1808-11-02,https://d-nb.info/gnd/118506498
wr-person-0030,"Barrès, Maurice",1862-08-19,https://d-nb.info/gnd/118506684
wr-person-0073,"Basedow, Hans von",,https://d-nb.info/gnd/116076267
wr-person-0034,"Baudelaire, Charles",1821-04-09,https://d-nb.info/gnd/118507184
wr-person-0295,"Beardsley, Aubrey",1872-08-21,https://d-nb.info/gnd/118507826
wr-person-0155,"Behrend, Wilhelm",,
wr-person-0084,"Benzmann, Hans",1869-09-27,https://d-nb.info/gnd/119059355
wr-person-0146,"Berg, Leo",,
wr-person-0078,"Björnson, Björnstjerne",,https://d-nb.info/gnd/118511459
wr-person-0093,"Bleibtreu, Carl",1859-01-13,https://d-nb.info/gnd/118663909
wr-person-0168,"Bleibtreu, Carl",1859-01-13,https://d-nb.info/gnd/118663909
wr-person-0194,"Bliß, Paul",1861-03-03,https://d-nb.info/gnd/116202106
wr-person-0067,"Bodman, Emanuel von",1874-01-23,https://d-nb.info/gnd/118660497
wr-person-0233,"Böhme, Edwin",1877-05-13,https://d-nb.info/gnd/117717460
wr-person-0094,"Bornstein, Dr. Paul",,
wr-person-0193,"Bötticher, Georg",,
wr-person-0293,"Brausewetter, Ernst",1863-06-02,https://d-nb.info/gnd/118514733
wr-person-0120,"Brosch, Leopold",,
wr-person-0250,"Buet, Charles",1846,https://d-nb.info/gnd/172491991
wr-person-0276,"Buttenstedt, Carl",,
wr-person-0121,"Cantacuzène, Elsa Prinzessin",,
wr-person-0211,"Chamberlain, Houston Stewart",1855-09-09,https://d-nb.info/gnd/118675508
wr-person-0019,"Chrēstomanos, Kōnstantinos",1867-08-01,https://d-nb.info/gnd/119098067
wr-person-0174,"Chrēstomanos, Kōnstantinos",1867-08-01,https://d-nb.info/gnd/119098067
wr-person-0133,"Christen, Ada",1844-03-06,https://d-nb.info/gnd/119549263
wr-person-0210,"Cippico, Anton",,
wr-person-0217,"Conrad, M. G.",,
wr-person-0263,"Crane, Walter",1845-08-15,https://d-nb.info/gnd/118522639
wr-person-0061,"D'Annunzio, Gabriele",1863-03-12,https://d-nb.info/gnd/118503243
wr-person-0157,"d’Annunzio, Gabriele",,https://d-nb.info/gnd/118503243
wr-person-0113,Dante,,https://d-nb.info/gnd/118523708
wr-person-0118,"Daudet, Julia Rosalie Céleste",1847-07-13,https://d-nb.info/gnd/123294444
wr-person-0011,"De Amicis, Edmondo",1846-10-21,https://d-nb.info/gnd/118679066
wr-person-0312,"De Quincey, Thomas",1785,https://d-nb.info/gnd/118524747
wr-person-0018,"Dehmel, Richard",,https://d-nb.info/gnd/118679236
wr-person-0240,"Deinhard, Ludwig",1847,https://d-nb.info/gnd/116055367
wr-person-0040,"Delle Grazie, Marie Eugenie",1864-08-01,https://d-nb.info/gnd/118746278
wr-person-0307,"Deussen, Paul, Prof.",,https://d-nb.info/gnd/118671707
wr-person-0089,"Dix, Arthur",1875,https://d-nb.info/gnd/11614579X
wr-person-0021,"Dostojewsky, F. M.",,https://d-nb.info/gnd/118527053
wr-person-0127,"Drachmann, Holger",1846-10-09,https://d-nb.info/gnd/119018934
wr-person-0271,"Drews, Arthur, Prof.",,https://d-nb.info/gnd/116219351
wr-person-0308,"Driesmans, Heinrich",1863,https://d-nb.info/gnd/116223111
wr-person-0077,"Du Prel, Dr. Carl",,
wr-person-0149,"Eekhoud, Georg",,https://d-nb.info/gnd/119372908
wr-person-0145,"Egidy, Moritz von",1847-08-29,https://d-nb.info/gnd/11868809X
wr-person-0197,"Ehrhart, Robert von",1870-09-12,https://d-nb.info/gnd/126290911
wr-person-0020,"Elbogen, Friedrich",,https://d-nb.info/gnd/1049479807
wr-person-0172,"Eloesser, Arthur",1870-03-20,https://d-nb.info/gnd/118688839
wr-person-0142,Emerson,,
wr-person-0165,"Emerson, Ralph Waldo",1803-05-25,https://d-nb.info/gnd/118530127
wr-person-0163,"Endell, August",1871-04-12,https://d-nb.info/gnd/118682032
wr-person-0092,"Engel, Fritz",,
wr-person-0252,"Ephron, Heinrich",,https://d-nb.info/gnd/1021283649
wr-person-0265,"Ephron, Jefim Heinrich",,https://d-nb.info/gnd/126321108
wr-person-0201,"Esswein, Hermann",,
wr-person-0017,"Evers, Franz",,https://d-nb.info/gnd/116611804
wr-person-0047,"Feldegg, Victor",1874,https://d-nb.info/gnd/11643919X
wr-person-0069,"Ferrero, Guglielmo, Prof.",,https://d-nb.info/gnd/118989162
wr-person-0264,"Ferri, Enrico",,https://d-nb.info/gnd/116472766
wr-person-0112,"Ferri, Prof. Enrico",,https://d-nb.info/gnd/116472766
wr-person-0125,"Ferri, Professor Enrico",,https://d-nb.info/gnd/116472766
wr-person-0043,"Fiamingo, Giuseppe",1875,https://d-nb.info/gnd/1228995540
wr-person-0164,Fidus,1868-10-08,https://d-nb.info/gnd/118687077
wr-person-0282,"Fischer, Arnold",,
wr-person-0060,"Forsslund, Carl Erik",,https://d-nb.info/gnd/119103672
wr-person-0298,"Förster-Nietzsche, Elisabeth",1846-07-10,https://d-nb.info/gnd/11853419X
wr-person-0066,"France, Anatole",1844-04-16,https://d-nb.info/gnd/118692445
wr-person-0287,"Froebe, Robert, Dr.",,https://d-nb.info/gnd/1282999702
wr-person-0048,"Frommel, Gaston",1862,https://d-nb.info/gnd/1047604728
wr-person-0049,"Fuchs, Georg",,https://d-nb.info/gnd/118693980
wr-person-0140,"Garborg, Arne",1851-01-25,https://d-nb.info/gnd/11853758X
wr-person-0116,"Garde, Arnold",1871,https://d-nb.info/gnd/11642270X
wr-person-0091,"Gaultier, Jules de",1858,https://d-nb.info/gnd/13397331X
wr-person-0044,"Geijerstam, Gustaf af",1858-01-05,https://d-nb.info/gnd/115657061
wr-person-0131,"Gemberg, Adine",1860-04-28,https://d-nb.info/gnd/116536624
wr-person-0176,"George, Stefan",,https://d-nb.info/gnd/11853856X
wr-person-0226,"Geßmann, Gustav Wilhelm",1860,https://d-nb.info/gnd/117719633
